agent_id,category_count,category,expertise
0,3,2 5 4,0.48 0.67 0.37
1,3,6 4 1,0.63 0.42 0.62
2,2,0 6,0.48 0.47
3,3,7 5 1,0.63 0.54 0.38
4,6,1 4 0 7 5 6,0.52 0.51 0.28 0.45 0.56 0.45
5,3,2 4 3,0.42 0.52 0.39
6,4,0 4 5 1,0.45 0.63 0.6 0.56
7,5,4 1 6 0 3,0.64 0.6 0.45 0.48 0.55
8,4,7 0 3 1,0.36 0.57 0.42 0.49
9,4,5 1 2 3,0.3 0.37 0.68 0.57
10,5,5 2 4 3 7,0.33 0.56 0.43 0.53 0.39
11,2,7 5,0.48 0.59
12,5,5 7 4 2 3,0.5 0.58 0.43 0.3 0.61
13,5,3 0 4 7 2,0.53 0.38 0.57 0.5 0.51
14,4,6 7 2 5,0.38 0.45 0.61 0.51
15,4,7 1 5 4,0.56 0.47 0.36 0.4
16,3,4 5 6,0.57 0.53 0.51
17,3,2 5 3,0.53 0.48 0.47
18,4,6 3 5 7,0.65 0.41 0.34 0.5
19,4,3 2 6 0,0.51 0.42 0.49 0.42
20,5,2 1 7 5 6,0.51 0.48 0.43 0.38 0.37
21,4,4 2 5 1,0.57 0.42 0.51 0.51
22,4,1 5 4 2,0.62 0.5 0.43 0.36
23,5,3 0 2 6 1,0.54 0.42 0.44 0.47 0.53
24,5,4 7 1 2 0,0.58 0.59 0.47 0.36 0.58
