agent_id,category_count,category,expertise
0,4,0 7 5 3,0.48 0.42 0.41 0.43
1,7,7 4 0 6 1 2 5,0.45 0.57 0.46 0.53 0.37 0.57 0.6
2,3,1 2 4,0.58 0.36 0.65
3,6,4 7 1 0 3 5,0.57 0.75 0.68 0.46 0.52 0.51
4,6,6 0 7 2 3 4,0.58 0.58 0.58 0.47 0.45 0.58
5,6,0 6 3 5 1 7,0.63 0.51 0.61 0.44 0.38 0.41
6,5,6 5 0 2 1,0.54 0.39 0.58 0.54 0.64
7,3,6 1 4,0.39 0.53 0.35
8,3,3 0 6,0.56 0.44 0.53
9,5,3 4 5 1 6,0.54 0.62 0.48 0.3 0.53
10,7,2 4 3 0 5 7 6,0.44 0.42 0.39 0.55 0.5 0.49 0.55
11,7,1 6 0 7 2 5 4,0.44 0.61 0.35 0.52 0.59 0.62 0.43
12,3,6 7 2,0.51 0.66 0.55
13,5,7 5 2 4 3,0.46 0.6 0.62 0.52 0.47
14,6,6 1 0 3 2 5,0.63 0.71 0.33 0.48 0.61 0.45
15,3,7 6 3,0.6 0.48 0.46
16,5,7 2 5 4 6,0.59 0.48 0.5 0.44 0.45
17,5,2 0 7 4 1,0.53 0.45 0.55 0.42 0.49
18,3,5 0 2,0.39 0.38 0.31
19,4,2 0 3 5,0.43 0.49 0.3 0.47
20,7,5 0 7 4 1 2 6,0.48 0.54 0.45 0.56 0.54 0.72 0.46
21,6,2 3 6 5 0 1,0.41 0.5 0.47 0.45 0.68 0.28
22,3,3 1 6,0.44 0.55 0.43
23,5,6 0 3 7 1,0.62 0.33 0.54 0.52 0.59
24,6,7 1 0 5 6 3,0.68 0.45 0.58 0.47 0.36 0.54
25,7,7 2 5 0 1 4 3,0.64 0.38 0.61 0.6 0.59 0.48 0.26
