agent_id,category_count,category,expertise
0,3,4 5 2,0.4 0.69 0.4
1,6,7 0 4 3 6 1,0.55 0.43 0.48 0.51 0.46 0.57
2,5,1 6 4 0 2,0.46 0.47 0.39 0.63 0.59
3,4,6 5 1 4,0.46 0.48 0.52 0.69
4,4,0 4 1 5,0.51 0.35 0.44 0.48
5,4,3 5 1 2,0.46 0.47 0.53 0.42
6,4,6 2 3 5,0.44 0.53 0.47 0.76
7,4,6 1 4 0,0.72 0.41 0.68 0.44
8,6,6 5 4 1 3 2,0.56 0.41 0.52 0.5 0.54 0.54
9,6,0 5 7 3 2 1,0.43 0.63 0.46 0.44 0.7 0.53
10,2,5 1,0.56 0.42
11,6,7 6 4 0 1 3,0.64 0.61 0.58 0.37 0.55 0.38
12,3,6 3 7,0.41 0.49 0.31
13,4,4 6 3 5,0.42 0.63 0.52 0.34
14,2,0 4,0.44 0.54
