agent_id,category_count,category,expertise
0,6,6 1 0 4 5 7,0.5 0.51 0.47 0.45 0.22 0.45
1,6,2 7 4 3 5 0,0.52 0.58 0.48 0.41 0.57 0.66
2,5,0 2 7 5 6,0.45 0.39 0.46 0.56 0.52
3,6,7 2 6 5 0 4,0.68 0.32 0.43 0.4 0.4 0.33
4,7,6 4 5 0 3 1 2,0.56 0.46 0.41 0.41 0.5 0.44 0.48
5,7,6 2 4 0 5 3 1,0.51 0.53 0.61 0.57 0.46 0.48 0.28
6,3,6 7 3,0.6 0.5 0.63
7,3,6 4 0,0.57 0.52 0.37
8,4,7 1 2 6,0.3 0.63 0.6 0.67
9,4,1 7 2 6,0.44 0.69 0.45 0.54
10,6,7 0 3 4 1 2,0.6 0.51 0.61 0.39 0.59 0.5
11,6,3 5 1 4 0 6,0.45 0.62 0.48 0.4 0.74 0.45
12,7,7 3 1 0 5 4 2,0.44 0.47 0.64 0.51 0.63 0.5 0.42
13,5,7 3 6 1 2,0.55 0.42 0.52 0.49 0.54
14,6,7 5 4 6 0 3,0.59 0.5 0.48 0.54 0.49 0.54
15,6,1 3 7 6 0 5,0.41 0.55 0.47 0.49 0.51 0.42
16,4,7 3 5 0,0.46 0.51 0.4 0.42
17,3,1 0 6,0.51 0.62 0.49
18,3,6 1 2,0.53 0.53 0.46
19,7,0 7 5 3 2 6 4,0.59 0.48 0.32 0.62 0.55 0.29 0.52
