agent_id,category_count,category,expertise
0,6,2 4 3 5 0 7,0.46 0.49 0.48 0.67 0.56 0.49
1,3,4 7 6,0.63 0.5 0.54
2,5,6 0 2 7 4,0.45 0.51 0.56 0.38 0.56
3,3,6 5 2,0.34 0.48 0.53
4,5,2 5 7 3 4,0.51 0.37 0.4 0.57 0.56
5,7,2 6 4 0 7 3 1,0.6 0.42 0.52 0.76 0.57 0.41 0.36
6,7,3 6 5 1 4 0 7,0.38 0.5 0.75 0.5 0.6 0.39 0.51
7,6,5 1 0 6 4 3,0.41 0.48 0.49 0.51 0.46 0.41
8,4,3 1 5 7,0.64 0.14 0.57 0.55
9,4,6 1 0 2,0.49 0.51 0.5 0.67
10,6,3 6 7 4 0 2,0.53 0.68 0.53 0.27 0.68 0.34
11,7,1 6 5 7 0 3 4,0.58 0.55 0.56 0.35 0.45 0.45 0.5
12,7,4 0 7 1 3 2 5,0.36 0.44 0.33 0.55 0.47 0.29 0.42
13,3,3 6 2,0.59 0.47 0.42
14,5,0 5 6 3 7,0.35 0.46 0.34 0.45 0.64
15,6,5 7 6 1 4 2,0.65 0.56 0.55 0.53 0.54 0.45
16,5,6 3 1 5 4,0.55 0.57 0.59 0.54 0.5
17,5,6 4 7 0 2,0.5 0.45 0.59 0.72 0.57
18,5,7 0 2 5 1,0.5 0.46 0.47 0.38 0.59
19,4,5 6 2 3,0.64 0.51 0.5 0.4
20,3,5 2 4,0.55 0.69 0.37
21,7,2 3 6 7 4 5 0,0.46 0.65 0.41 0.75 0.52 0.35 0.53
