agent_id,category_count,category,expertise
0,5,3 6 1 4 0,0.5 0.37 0.6 0.31 0.5
1,7,5 1 3 6 4 0 2,0.56 0.64 0.54 0.31 0.59 0.58 0.51
2,3,5 3 2,0.52 0.55 0.42
3,6,7 3 1 5 0 2,0.54 0.53 0.26 0.48 0.47 0.53
4,5,2 0 6 3 7,0.46 0.59 0.31 0.48 0.41
5,5,7 4 1 2 6,0.76 0.38 0.51 0.46 0.67
6,6,7 6 2 4 0 3,0.6 0.56 0.49 0.49 0.55 0.64
7,4,2 1 3 7,0.34 0.55 0.51 0.4
8,4,2 3 5 6,0.44 0.62 0.21 0.4
9,6,5 4 1 2 0 3,0.52 0.52 0.54 0.43 0.54 0.44
10,4,1 4 7 5,0.36 0.55 0.5 0.56
11,3,6 4 3,0.48 0.38 0.56
12,4,7 1 0 6,0.44 0.65 0.41 0.56
13,3,3 0 7,0.51 0.42 0.51
14,7,7 5 4 6 2 0 1,0.38 0.37 0.32 0.55 0.51 0.43 0.44
15,3,5 4 6,0.51 0.54 0.39
16,3,5 2 7,0.35 0.48 0.44
17,6,6 3 5 2 0 1,0.38 0.63 0.58 0.47 0.44 0.47
18,7,7 3 1 0 5 4 6,0.51 0.52 0.7 0.61 0.64 0.31 0.36
19,7,3 2 5 1 7 4 0,0.49 0.46 0.51 0.47 0.49 0.33 0.43
20,3,2 7 4,0.51 0.38 0.42
21,7,5 2 4 0 1 7 3,0.5 0.52 0.48 0.51 0.49 0.54 0.37
22,4,4 6 3 7,0.65 0.4 0.44 0.49
23,7,1 4 3 5 0 2 7,0.53 0.31 0.57 0.43 0.64 0.66 0.49
24,7,5 1 7 4 3 2 6,0.42 0.49 0.5 0.57 0.51 0.54 0.39
25,3,6 3 2,0.45 0.49 0.5
26,3,1 5 2,0.52 0.44 0.6
27,6,0 6 4 7 3 2,0.5 0.55 0.66 0.58 0.49 0.53
28,3,0 4 5,0.4 0.43 0.37
29,4,0 6 3 4,0.49 0.59 0.39 0.42
30,6,4 5 2 1 3 6,0.39 0.49 0.36 0.51 0.45 0.49
31,5,3 2 6 4 1,0.45 0.57 0.63 0.49 0.56
32,6,3 7 4 1 5 6,0.56 0.53 0.54 0.56 0.53 0.45
33,4,3 6 1 2,0.5 0.56 0.59 0.53
34,4,0 5 7 2,0.49 0.3 0.42 0.62
