ticket_id,inter_arr_time,arr_time
0,0.251,0.251
1,0.354,0.605
2,1.882,2.487
3,1.43,3.917
4,2.062,5.979
5,0.411,6.39
6,0.405,6.795
7,0.884,7.679
8,0.116,7.795
9,1.772,9.567
10,0.766,10.333
11,0.428,10.761
12,3.797,14.558
13,1.748,16.306
14,1.13,17.436
15,1.398,18.834
16,0.202,19.036
17,0.988,20.024
18,1.369,21.393
19,2.173,23.566
20,0.643,24.209
21,1.254,25.463
22,1.542,27.005
23,4.376,31.381
24,0.264,31.645
25,0.124,31.769
26,0.96,32.729
27,0.183,32.912
28,5.905,38.817
29,1.457,40.274
30,0.847,41.121
31,0.043,41.164
32,0.966,42.13
33,1.021,43.151
34,2.982,46.133
35,2.02,48.153
36,0.781,48.934
37,0.642,49.576
38,2.853,52.429
39,0.416,52.845
40,0.114,52.959
41,0.168,53.127
42,0.94,54.067
43,0.718,54.785
44,0.862,55.647
45,0.254,55.901
46,1.995,57.896
47,0.171,58.067
48,2.178,60.245
49,0.231,60.476
50,1.236,61.712
51,0.633,62.345
52,1.327,63.672
53,1.172,64.844
54,1.81,66.654
55,0.81,67.464
56,1.121,68.585
57,1.546,70.131
58,0.164,70.295
59,1.092,71.387
60,0.446,71.833
61,1.101,72.934
62,2.476,75.41
63,1.844,77.254
64,1.194,78.448
65,0.616,79.064
66,0.934,79.998
67,2.533,82.531
68,1.263,83.794
69,2.544,86.338
70,9.206,95.544
71,2.687,98.231
72,0.494,98.725
73,0.967,99.692
74,4.258,103.95
75,0.966,104.916
76,0.355,105.271
77,1.242,106.513
78,2.393,108.906
79,0.593,109.499
80,0.497,109.996
81,1.628,111.624
82,1.399,113.023
83,0.415,113.438
84,0.201,113.639
85,0.888,114.527
86,2.353,116.88
87,2.403,119.283
88,2.009,121.292
89,1.1,122.392
90,0.851,123.243
91,1.8,125.043
92,0.606,125.649
93,0.855,126.504
94,1.365,127.869
95,0.319,128.188
96,0.264,128.452
97,1.441,129.893
98,0.665,130.558
99,0.959,131.517
100,2.439,133.956
101,0.367,134.323
102,0.742,135.065
103,0.509,135.574
104,3.744,139.318
105,1.3,140.618
106,2.323,142.941
107,0.438,143.379
108,0.138,143.517
109,1.57,145.087
110,1.852,146.939
111,1.854,148.793
112,0.238,149.031
113,2.085,151.116
114,1.758,152.874
115,1.879,154.753
116,0.349,155.102
117,0.557,155.659
118,0.274,155.933
119,0.571,156.504
120,0.598,157.102
121,0.017,157.119
122,1.215,158.334
123,0.802,159.136
124,0.098,159.234
125,3.121,162.355
126,10.423,172.778
127,2.989,175.767
128,1.336,177.103
129,0.664,177.767
130,1.626,179.393
131,1.888,181.281
132,0.641,181.922
133,0.065,181.987
134,0.069,182.056
135,0.094,182.15
136,0.274,182.424
137,0.676,183.1
138,0.281,183.381
139,0.095,183.476
140,1.241,184.717
141,2.07,186.787
142,0.349,187.136
143,0.312,187.448
144,7.218,194.666
145,1.818,196.484
146,0.584,197.068
147,0.335,197.403
148,2.889,200.292
149,0.142,200.434
150,0.6,201.034
151,1.306,202.34
152,1.695,204.035
153,0.005,204.04
154,0.101,204.141
155,2.599,206.74
156,1.261,208.001
157,0.828,208.829
158,0.027,208.856
159,0.182,209.038
160,0.27,209.308
161,1.073,210.381
162,0.759,211.14
163,1.311,212.451
164,1.38,213.831
165,0.032,213.863
166,0.048,213.911
167,1.786,215.697
168,0.167,215.864
169,0.952,216.816
170,0.314,217.13
171,0.238,217.368
172,1.039,218.407
173,0.254,218.661
174,0.194,218.855
175,2.44,221.295
176,4.773,226.068
177,1.207,227.275
178,0.501,227.776
179,0.319,228.095
180,0.317,228.412
181,0.45,228.862
182,0.04,228.902
183,1.26,230.162
184,0.141,230.303
185,0.097,230.4
186,0.099,230.499
187,0.34,230.839
188,0.07,230.909
189,2.98,233.889
190,2.356,236.245
191,1.138,237.383
192,0.127,237.51
193,0.091,237.601
194,0.059,237.66
195,0.456,238.116
196,0.269,238.385
197,0.618,239.003
198,2.031,241.034
199,0.023,241.057
200,1.704,242.761
201,3.217,245.978
202,2.954,248.932
203,1.738,250.67
204,0.46,251.13
205,1.032,252.162
206,1.907,254.069
207,0.252,254.321
208,0.439,254.76
209,0.181,254.941
210,0.014,254.955
211,0.622,255.577
212,0.339,255.916
213,0.851,256.767
214,0.47,257.237
215,0.18,257.417
216,0.009,257.426
217,1.712,259.138
218,0.792,259.93
219,3.217,263.147
220,2.503,265.65
221,1.038,266.688
222,0.479,267.167
223,0.015,267.182
224,1.968,269.15
225,0.222,269.372
226,0.252,269.624
227,1.571,271.195
228,1.3,272.495
229,3.355,275.85
230,0.55,276.4
231,0.143,276.543
232,3.279,279.822
233,2.887,282.709
234,0.61,283.319
235,0.785,284.104
236,1.695,285.799
237,1.289,287.088
238,1.314,288.402
239,2.356,290.758
240,0.84,291.598
241,2.056,293.654
242,0.345,293.999
243,0.82,294.819
244,2.23,297.049
245,0.587,297.636
246,0.28,297.916
247,0.634,298.55
248,2.317,300.867
249,0.083,300.95
250,0.067,301.017
251,0.301,301.318
252,3.57,304.888
253,1.647,306.535
254,2.797,309.332
255,0.864,310.196
256,3.16,313.356
257,1.256,314.612
258,0.356,314.968
259,5.484,320.452
260,0.212,320.664
261,0.086,320.75
262,0.677,321.427
263,0.585,322.012
264,1.322,323.334
265,1.148,324.482
266,0.598,325.08
267,1.856,326.936
268,0.595,327.531
269,2.611,330.142
270,2.93,333.072
271,1.199,334.271
272,0.82,335.091
273,0.831,335.922
274,0.437,336.359
275,1.71,338.069
276,0.562,338.631
277,2.731,341.362
278,0.398,341.76
279,0.119,341.879
280,0.194,342.073
281,0.317,342.39
282,3.503,345.893
283,0.592,346.485
284,1.315,347.8
285,0.015,347.815
286,0.674,348.489
287,0.402,348.891
288,0.933,349.824
289,0.003,349.827
290,0.105,349.932
291,0.512,350.444
292,1.482,351.926
293,4.306,356.232
294,3.33,359.562
295,1.724,361.286
296,1.699,362.985
297,3.283,366.268
298,0.269,366.537
299,2.434,368.971
300,0.72,369.691
301,0.203,369.894
302,0.39,370.284
303,0.003,370.287
304,1.592,371.879
305,1.7,373.579
306,1.936,375.515
307,1.737,377.252
308,0.276,377.528
309,0.806,378.334
310,0.246,378.58
311,0.308,378.888
312,0.533,379.421
313,0.721,380.142
314,0.853,380.995
315,1.559,382.554
316,0.323,382.877
317,0.447,383.324
318,1.552,384.876
319,0.39,385.266
320,0.713,385.979
321,2.734,388.713
322,0.637,389.35
323,6.677,396.027
324,5.39,401.417
325,1.11,402.527
326,2.88,405.407
327,1.537,406.944
328,0.325,407.269
329,1.243,408.512
330,0.255,408.767
331,5.748,414.515
332,3.604,418.119
333,2.537,420.656
334,2.417,423.073
335,0.122,423.195
336,0.117,423.312
337,3.615,426.927
338,0.94,427.867
339,3.736,431.603
340,1.833,433.436
341,0.089,433.525
342,0.394,433.919
343,0.474,434.393
344,0.726,435.119
345,0.117,435.236
346,2.147,437.383
347,2.228,439.611
348,0.527,440.138
349,0.938,441.076
350,0.628,441.704
351,0.229,441.933
352,3.289,445.222
353,1.986,447.208
354,0.17,447.378
355,1.845,449.223
356,0.719,449.942
357,0.117,450.059
358,1.812,451.871
359,1.37,453.241
360,1.657,454.898
361,0.115,455.013
362,0.294,455.307
363,0.355,455.662
364,0.526,456.188
365,1.044,457.232
366,0.058,457.29
367,0.015,457.305
368,1.718,459.023
369,1.18,460.203
370,0.523,460.726
371,0.574,461.3
372,3.091,464.391
373,0.867,465.258
374,0.287,465.545
375,3.928,469.473
376,0.086,469.559
377,0.44,469.999
378,1.165,471.164
379,0.391,471.555
380,1.51,473.065
381,0.008,473.073
382,0.917,473.99
383,0.708,474.698
384,9.746,484.444
385,0.102,484.546
386,0.924,485.47
387,0.145,485.615
388,5.442,491.057
389,2.548,493.605
390,0.145,493.75
391,1.03,494.78
