ticket_id,inter_arr_time,arr_time
0,2.61,2.61
1,0.216,2.826
2,1.824,4.65
3,3.221,7.871
4,1.733,9.604
5,1.411,11.015
6,0.049,11.064
7,0.36,11.424
8,1.528,12.952
9,2.31,15.262
10,0.374,15.636
11,1.154,16.79
12,0.314,17.104
13,0.098,17.202
14,0.325,17.527
15,2.695,20.222
16,1.25,21.472
17,2.185,23.657
18,1.586,25.243
19,0.03,25.273
20,0.079,25.352
21,1.088,26.44
22,0.22,26.66
23,0.181,26.841
24,0.463,27.304
25,0.471,27.775
26,0.057,27.832
27,2.01,29.842
28,0.003,29.845
29,0.724,30.569
30,1.66,32.229
31,0.172,32.401
32,3.86,36.261
33,0.368,36.629
34,1.511,38.14
35,2.777,40.917
36,0.717,41.634
37,0.125,41.759
38,0.193,41.952
39,0.151,42.103
40,1.882,43.985
41,0.466,44.451
42,1.024,45.475
43,3.303,48.778
44,0.329,49.107
45,1.02,50.127
46,0.0,50.127
47,0.309,50.436
48,3.851,54.287
49,2.229,56.516
50,4.102,60.618
51,0.654,61.272
52,0.23,61.502
53,2.89,64.392
54,0.085,64.477
55,0.979,65.456
56,0.005,65.461
57,0.201,65.662
58,1.722,67.384
59,1.989,69.373
60,0.265,69.638
61,1.172,70.81
62,0.717,71.527
63,0.469,71.996
64,0.323,72.319
65,0.66,72.979
66,0.842,73.821
67,0.975,74.796
68,0.011,74.807
69,3.173,77.98
70,0.867,78.847
71,0.613,79.46
72,0.5,79.96
73,0.159,80.119
74,0.249,80.368
75,1.496,81.864
76,0.022,81.886
77,1.164,83.05
78,1.389,84.439
79,0.741,85.18
80,2.284,87.464
81,0.229,87.693
82,0.264,87.957
83,0.234,88.191
84,0.096,88.287
85,0.345,88.632
86,1.39,90.022
87,2.022,92.044
88,0.14,92.184
89,2.292,94.476
90,1.521,95.997
91,0.316,96.313
92,2.182,98.495
93,0.06,98.555
94,1.236,99.791
95,1.997,101.788
96,0.285,102.073
97,2.577,104.65
98,0.706,105.356
99,3.626,108.982
