ticket_id,inter_arr_time,arr_time
0,2.602,2.602
1,5.157,7.759
2,11.75,19.509
3,0.097,19.606
4,2.357,21.963
5,1.99,23.953
6,1.968,25.921
7,12.381,38.302
8,0.391,38.693
9,3.623,42.316
10,9.204,51.52
11,0.973,52.493
12,4.037,56.53
13,7.699,64.229
14,3.451,67.68
15,2.641,70.321
16,0.758,71.079
17,6.477,77.556
18,1.853,79.409
19,0.628,80.037
20,2.919,82.956
21,8.327,91.283
22,3.696,94.979
23,1.364,96.343
24,8.282,104.625
25,1.181,105.806
26,0.52,106.326
27,0.448,106.774
28,8.73,115.504
29,0.741,116.245
30,1.589,117.834
31,3.088,120.922
32,2.0,122.922
33,3.738,126.66
34,5.458,132.118
35,0.237,132.355
36,3.74,136.095
37,3.954,140.049
38,0.172,140.221
39,6.596,146.817
40,2.127,148.944
41,2.955,151.899
42,0.006,151.905
43,8.438,160.343
44,0.006,160.349
45,4.528,164.877
46,3.019,167.896
47,4.552,172.448
48,1.596,174.044
49,3.525,177.569
50,0.256,177.825
51,4.844,182.669
52,0.219,182.888
53,2.005,184.893
54,0.44,185.333
55,6.01,191.343
56,1.957,193.3
57,1.181,194.481
58,0.09,194.571
59,2.6,197.171
60,0.962,198.133
61,2.59,200.723
62,1.815,202.538
63,2.453,204.991
64,8.496,213.487
65,7.217,220.704
66,0.338,221.042
67,0.839,221.881
68,3.908,225.789
69,1.018,226.807
70,0.982,227.789
71,0.644,228.433
72,0.386,228.819
73,3.352,232.171
74,0.724,232.895
75,16.124,249.019
76,1.177,250.196
77,0.973,251.169
78,0.165,251.334
79,0.58,251.914
80,7.698,259.612
81,3.91,263.522
82,4.203,267.725
83,4.184,271.909
84,2.278,274.187
85,0.027,274.214
86,5.587,279.801
87,1.754,281.555
88,0.277,281.832
89,6.316,288.148
90,0.61,288.758
91,0.421,289.179
92,16.612,305.791
93,1.441,307.232
94,0.83,308.062
95,3.44,311.502
96,5.89,317.392
97,3.296,320.688
98,2.398,323.086
99,0.869,323.955
100,4.959,328.914
101,6.853,335.767
102,2.717,338.484
103,3.866,342.35
104,6.601,348.951
105,0.231,349.182
106,7.804,356.986
107,3.492,360.478
108,2.447,362.925
109,2.272,365.197
110,3.722,368.919
111,6.974,375.893
112,4.211,380.104
113,4.358,384.462
114,7.124,391.586
115,1.338,392.924
116,1.064,393.988
117,12.888,406.876
118,1.737,408.613
119,4.037,412.65
120,0.406,413.056
121,7.672,420.728
122,5.728,426.456
123,1.213,427.669
124,10.819,438.488
125,1.071,439.559
126,0.506,440.065
127,3.845,443.91
128,0.37,444.28
129,4.44,448.72
130,0.865,449.585
131,5.273,454.858
132,2.437,457.295
133,1.357,458.652
134,4.39,463.042
135,4.835,467.877
136,1.558,469.435
137,3.567,473.002
138,0.896,473.898
139,0.008,473.906
140,2.444,476.35
141,1.077,477.427
142,0.563,477.99
143,2.545,480.535
144,0.199,480.734
145,1.554,482.288
146,1.052,483.34
147,1.232,484.572
148,4.993,489.565
149,0.163,489.728
150,0.557,490.285
151,4.348,494.633
152,3.179,497.812
153,3.269,501.081
154,0.354,501.435
