agent_id,category_count,category,expertise
0,4,2 7 5 1,0.5 0.45 0.57 0.26
1,4,5 6 4 0,0.55 0.44 0.36 0.45
2,7,5 4 3 7 1 2 0,0.39 0.36 0.63 0.58 0.56 0.47 0.41
3,7,7 5 2 6 3 4 0,0.58 0.31 0.53 0.46 0.46 0.51 0.56
4,3,7 2 4,0.65 0.44 0.67
5,7,2 3 1 6 0 7 5,0.4 0.64 0.51 0.61 0.37 0.69 0.7
6,3,2 5 4,0.54 0.4 0.45
7,7,2 7 0 5 1 6 3,0.44 0.48 0.32 0.36 0.45 0.47 0.58
8,5,3 0 5 1 7,0.35 0.51 0.51 0.53 0.43
9,4,2 3 5 6,0.47 0.5 0.47 0.46
10,3,1 5 2,0.5 0.67 0.48
11,6,3 6 0 5 7 4,0.39 0.44 0.66 0.41 0.7 0.44
12,3,5 7 0,0.51 0.41 0.43
13,6,7 5 1 0 3 6,0.36 0.6 0.61 0.45 0.62 0.55
14,7,4 7 1 5 6 2 3,0.53 0.49 0.62 0.57 0.51 0.46 0.48
15,5,6 4 5 3 1,0.37 0.52 0.61 0.57 0.5
16,6,3 5 6 2 4 0,0.63 0.63 0.52 0.67 0.6 0.63
17,3,6 2 3,0.57 0.35 0.35
18,6,0 1 5 7 2 6,0.59 0.54 0.62 0.46 0.41 0.4
19,5,3 6 0 1 5,0.4 0.53 0.55 0.39 0.4
20,7,2 5 6 1 0 7 3,0.6 0.51 0.5 0.58 0.57 0.45 0.35
21,6,3 4 5 6 1 0,0.49 0.55 0.5 0.47 0.55 0.48
22,3,1 4 6,0.27 0.61 0.39
23,6,0 7 2 1 5 4,0.34 0.65 0.51 0.52 0.65 0.5
