agent_id,category_count,category,expertise
0,4,2 7 4 6,0.45 0.44 0.49 0.43
1,4,1 0 3 2,0.54 0.55 0.36 0.62
2,7,0 4 1 5 2 3 7,0.36 0.51 0.41 0.67 0.42 0.25 0.6
3,7,6 0 4 7 2 3 1,0.51 0.48 0.46 0.69 0.28 0.38 0.6
4,4,6 4 1 3,0.38 0.32 0.5 0.55
5,4,2 6 7 0,0.54 0.44 0.57 0.48
6,5,5 3 4 1 2,0.52 0.52 0.7 0.6 0.52
7,3,7 6 0,0.55 0.44 0.5
8,5,5 7 0 6 2,0.42 0.68 0.4 0.46 0.45
9,6,1 3 4 7 5 6,0.53 0.45 0.48 0.48 0.4 0.34
10,6,4 2 3 5 0 1,0.54 0.58 0.5 0.47 0.52 0.33
11,5,6 0 1 2 4,0.47 0.47 0.42 0.47 0.44
12,7,7 5 1 3 0 6 4,0.47 0.43 0.54 0.56 0.46 0.37 0.5
13,7,6 3 0 1 5 7 2,0.34 0.4 0.49 0.41 0.69 0.55 0.46
14,4,6 4 7 2,0.63 0.37 0.6 0.35
15,5,7 6 4 2 1,0.52 0.47 0.64 0.48 0.61
16,7,2 5 6 0 1 7 3,0.37 0.5 0.59 0.46 0.56 0.54 0.56
17,4,4 3 0 5,0.6 0.61 0.44 0.39
18,7,5 6 7 3 1 0 4,0.45 0.56 0.36 0.44 0.45 0.67 0.39
19,6,4 0 3 5 1 6,0.37 0.45 0.25 0.45 0.41 0.52
20,5,5 7 6 4 0,0.55 0.49 0.52 0.44 0.61
21,6,7 5 1 6 2 4,0.64 0.43 0.55 0.57 0.54 0.48
22,5,6 5 2 1 0,0.45 0.47 0.54 0.58 0.54
23,7,1 2 5 4 3 6 7,0.68 0.42 0.59 0.4 0.73 0.76 0.5
24,3,3 7 6,0.39 0.51 0.6
25,5,7 5 3 2 0,0.39 0.57 0.45 0.52 0.49
26,4,0 4 2 7,0.34 0.52 0.57 0.59
27,7,6 3 0 1 5 2 7,0.45 0.61 0.6 0.55 0.56 0.36 0.41
28,7,2 3 4 7 1 0 6,0.38 0.43 0.56 0.56 0.44 0.36 0.35
29,5,0 4 5 1 2,0.59 0.46 0.42 0.61 0.49
30,6,5 6 7 4 1 0,0.58 0.44 0.38 0.41 0.44 0.58
31,4,0 4 6 5,0.48 0.58 0.51 0.5
32,5,7 0 3 2 5,0.49 0.45 0.5 0.55 0.46
33,6,2 1 5 3 4 6,0.5 0.55 0.5 0.5 0.61 0.62
34,7,2 6 0 5 4 3 1,0.53 0.51 0.53 0.62 0.39 0.5 0.54
35,6,0 3 4 1 5 6,0.39 0.4 0.55 0.56 0.28 0.46
36,5,7 2 5 3 4,0.73 0.44 0.49 0.38 0.33
37,4,2 5 3 6,0.46 0.56 0.56 0.37
38,4,5 3 2 0,0.52 0.54 0.38 0.25
39,6,6 4 3 2 0 7,0.51 0.64 0.53 0.46 0.45 0.36
40,5,7 3 4 1 5,0.47 0.58 0.64 0.48 0.46
41,4,5 0 1 6,0.54 0.31 0.58 0.53
42,3,5 3 1,0.56 0.48 0.5
43,3,3 0 5,0.54 0.48 0.4
44,6,1 5 3 4 2 7,0.57 0.59 0.45 0.73 0.63 0.58
45,7,0 1 2 4 5 7 3,0.46 0.46 0.5 0.39 0.66 0.48 0.62
46,7,4 3 2 5 7 6 1,0.41 0.48 0.53 0.39 0.44 0.36 0.51
47,6,2 6 1 7 3 5,0.43 0.61 0.47 0.44 0.46 0.48
48,7,2 0 4 3 5 1 7,0.45 0.64 0.62 0.26 0.3 0.59 0.51
49,5,4 2 7 3 1,0.57 0.32 0.4 0.46 0.49
