agent_id,category_count,category,expertise
0,4,2 0 4 5,0.5 0.47 0.32 0.49
1,6,0 7 2 6 4 1,0.55 0.51 0.49 0.48 0.3 0.63
2,5,7 3 0 1 5,0.49 0.66 0.46 0.65 0.48
3,3,6 1 2,0.51 0.56 0.25
4,4,3 4 7 0,0.55 0.5 0.59 0.48
5,3,4 6 5,0.47 0.55 0.49
6,7,4 5 1 0 7 6 3,0.54 0.47 0.39 0.66 0.59 0.62 0.48
7,5,2 7 1 6 3,0.34 0.52 0.47 0.47 0.44
8,4,7 6 0 5,0.49 0.5 0.52 0.59
9,6,6 7 5 4 2 0,0.52 0.51 0.43 0.62 0.41 0.34
10,7,7 2 0 5 1 3 6,0.5 0.55 0.41 0.45 0.61 0.6 0.57
11,4,4 6 0 5,0.46 0.45 0.43 0.62
12,5,0 2 5 4 7,0.53 0.66 0.52 0.61 0.56
13,3,7 1 5,0.39 0.56 0.47
14,3,2 7 3,0.59 0.34 0.5
15,7,1 0 7 2 6 4 3,0.48 0.54 0.65 0.41 0.5 0.37 0.57
16,6,2 1 3 6 7 4,0.34 0.55 0.45 0.56 0.42 0.46
17,6,7 4 6 3 5 0,0.61 0.51 0.48 0.48 0.58 0.34
18,7,0 4 2 6 7 3 5,0.54 0.51 0.53 0.7 0.38 0.53 0.66
19,6,5 0 3 6 1 4,0.47 0.49 0.28 0.54 0.53 0.56
20,4,5 7 4 2,0.47 0.39 0.45 0.49
21,5,0 6 3 1 2,0.45 0.56 0.3 0.61 0.41
22,3,7 5 4,0.45 0.47 0.44
23,7,5 6 3 7 0 2 4,0.43 0.51 0.4 0.55 0.5 0.26 0.39
24,3,4 7 5,0.6 0.42 0.45
25,6,0 4 5 6 1 7,0.5 0.6 0.57 0.7 0.33 0.55
26,6,4 0 1 3 5 2,0.51 0.62 0.45 0.59 0.55 0.52
27,4,4 7 5 3,0.41 0.41 0.48 0.43
28,5,6 7 3 0 1,0.39 0.53 0.52 0.45 0.6
29,5,0 6 2 4 1,0.39 0.37 0.43 0.56 0.51
30,5,5 6 1 2 3,0.48 0.42 0.49 0.47 0.48
31,3,7 6 3,0.48 0.56 0.4
32,7,0 1 4 3 7 6 2,0.49 0.38 0.41 0.39 0.46 0.5 0.58
33,7,0 3 6 5 4 7 2,0.43 0.37 0.44 0.67 0.45 0.69 0.47
34,6,2 4 5 0 1 6,0.39 0.58 0.32 0.72 0.39 0.4
35,5,2 1 0 6 5,0.36 0.57 0.49 0.49 0.52
36,3,2 5 4,0.56 0.43 0.6
37,6,5 0 1 3 7 2,0.69 0.5 0.25 0.66 0.58 0.5
38,6,4 7 6 2 5 3,0.43 0.46 0.48 0.43 0.47 0.4
39,6,3 7 5 4 2 1,0.56 0.64 0.46 0.59 0.48 0.64
