agent_id,category_count,category,expertise
0,6,6 4 2 7 3 5,0.53 0.56 0.72 0.57 0.61 0.71
1,7,3 6 7 4 0 5 1,0.58 0.49 0.26 0.4 0.46 0.57 0.59
2,7,0 3 4 5 7 2 1,0.53 0.65 0.55 0.35 0.53 0.35 0.69
3,7,7 6 0 5 2 1 4,0.46 0.39 0.5 0.49 0.54 0.29 0.38
4,7,1 3 4 5 2 6 0,0.45 0.65 0.62 0.31 0.41 0.44 0.41
5,6,1 5 6 7 0 2,0.75 0.44 0.74 0.37 0.56 0.42
6,6,0 3 1 7 6 2,0.61 0.46 0.5 0.51 0.43 0.46
7,4,2 4 1 7,0.41 0.5 0.59 0.45
8,3,1 5 6,0.55 0.45 0.38
9,3,1 3 4,0.51 0.57 0.58
10,5,3 2 1 5 4,0.57 0.43 0.58 0.51 0.54
11,6,0 7 3 4 6 1,0.53 0.42 0.46 0.59 0.54 0.52
12,6,7 1 0 5 2 3,0.4 0.56 0.68 0.39 0.38 0.45
13,6,6 1 7 2 0 4,0.31 0.45 0.49 0.62 0.57 0.63
14,4,7 3 5 2,0.58 0.61 0.53 0.48
15,7,6 5 2 4 3 1 0,0.53 0.53 0.52 0.51 0.39 0.56 0.65
16,6,7 0 4 1 2 6,0.43 0.39 0.48 0.48 0.53 0.5
17,5,0 1 6 2 7,0.48 0.41 0.8 0.52 0.4
18,4,4 5 6 1,0.5 0.57 0.57 0.55
19,4,2 1 7 0,0.64 0.45 0.46 0.51
20,4,6 3 0 5,0.66 0.57 0.46 0.37
21,4,5 7 3 6,0.47 0.51 0.48 0.44
22,7,7 1 6 4 2 5 0,0.44 0.66 0.49 0.49 0.52 0.53 0.52
23,7,6 5 4 2 0 1 7,0.33 0.57 0.59 0.51 0.58 0.42 0.55
24,6,6 7 2 0 4 1,0.29 0.64 0.45 0.32 0.37 0.42
25,5,5 6 0 4 1,0.47 0.54 0.52 0.49 0.44
26,7,7 6 2 3 1 4 5,0.55 0.53 0.62 0.6 0.48 0.43 0.51
27,6,4 7 2 5 6 3,0.55 0.65 0.61 0.42 0.55 0.56
28,6,6 1 7 0 4 3,0.43 0.58 0.54 0.52 0.6 0.48
29,3,1 3 7,0.6 0.45 0.55
